,,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital
,,Missing,Overall,AMC,Hallym,SNU,P-Value,Test
n,,,989,627,107,255,,
"Age, median [Q1,Q3]",,0,"70.0 [62.0,76.0]","70.0 [62.0,76.0]","71.0 [63.0,79.0]","71.0 [63.0,77.0]",0.127,Kruskal-Wallis
"Female, n (%)",0,0,694 (70.2),446 (71.1),71 (66.4),177 (69.4),0.579,Chi-squared
"Female, n (%)",1,,295 (29.8),181 (28.9),36 (33.6),78 (30.6),,
"BMI, median [Q1,Q3]",,0,"24.6 [22.6,26.5]","24.5 [22.6,26.4]","25.0 [22.6,27.2]","24.6 [22.8,26.4]",0.670,Kruskal-Wallis
"Pre_GFR, median [Q1,Q3]",,2,"71.6 [55.5,88.8]","75.3 [58.5,95.6]","68.3 [58.0,82.5]","61.1 [49.2,78.5]",<0.001,Kruskal-Wallis
"Location_Pelvis, n (%)",0,0,501 (50.7),310 (49.4),44 (41.1),147 (57.6),0.010,Chi-squared
"Location_Pelvis, n (%)",1,,488 (49.3),317 (50.6),63 (58.9),108 (42.4),,
"Location_multiple, n (%)",0,0,320 (32.4),2 (0.3),96 (89.7),222 (87.1),<0.001,Chi-squared (warning: expected count < 5)
"Location_multiple, n (%)",1,,554 (56.0),510 (81.3),11 (10.3),33 (12.9),,
"Location_multiple, n (%)",2,,106 (10.7),106 (16.9),,,,
"Location_multiple, n (%)",3,,7 (0.7),7 (1.1),,,,
"Location_multiple, n (%)",4,,2 (0.2),2 (0.3),,,,
"HUN, n (%)",0.0,1,487 (49.3),292 (46.6),66 (61.7),129 (50.8),0.013,Chi-squared
"HUN, n (%)",1.0,,501 (50.7),335 (53.4),41 (38.3),125 (49.2),,
"path_T, n (%)",0.0,17,45 (4.6),3 (0.5),36 (33.6),6 (2.5),<0.001,Chi-squared (warning: expected count < 5)
"path_T, n (%)",1.0,,20 (2.1),15 (2.4),,5 (2.1),,
"path_T, n (%)",2.0,,200 (20.6),145 (23.1),,55 (23.1),,
"path_T, n (%)",3.0,,235 (24.2),155 (24.7),22 (20.6),58 (24.4),,
"path_T, n (%)",4.0,,124 (12.8),74 (11.8),15 (14.0),35 (14.7),,
"path_T, n (%)",5.0,,323 (33.2),214 (34.1),31 (29.0),78 (32.8),,
"path_T, n (%)",6.0,,25 (2.6),21 (3.3),3 (2.8),1 (0.4),,
"Path_N, n (%)",0.0,375,556 (90.6),222 (82.5),103 (96.3),231 (97.1),<0.001,Chi-squared
"Path_N, n (%)",1.0,,58 (9.4),47 (17.5),4 (3.7),7 (2.9),,
"Path_Grade, n (%)",0.0,56,160 (17.1),96 (16.0),27 (25.2),37 (16.3),0.062,Chi-squared
"Path_Grade, n (%)",1.0,,773 (82.9),503 (84.0),80 (74.8),190 (83.7),,
"Path_CIS, n (%)",0.0,30,635 (66.2),363 (59.1),103 (96.3),169 (71.0),<0.001,Chi-squared
"Path_CIS, n (%)",1.0,,324 (33.8),251 (40.9),4 (3.7),69 (29.0),,
"Prg, n (%)",0.0,1,766 (77.5),465 (74.2),80 (74.8),221 (87.0),<0.001,Chi-squared
"Prg, n (%)",1.0,,222 (22.5),162 (25.8),27 (25.2),33 (13.0),,
"PFS, median [Q1,Q3]",,1,"30.0 [9.6,57.0]","36.0 [14.0,61.0]","60.0 [25.0,102.5]","10.4 [1.8,24.1]",<0.001,Kruskal-Wallis
"OS, n (%)",0.0,1,790 (80.0),443 (70.7),95 (88.8),252 (99.2),<0.001,Chi-squared
"OS, n (%)",1.0,,198 (20.0),184 (29.3),12 (11.2),2 (0.8),,
"Surv, median [Q1,Q3]",0.0,3,18 (1.8),10 (1.6),,8 (3.2),<0.001,Chi-squared (warning: expected count < 5)
"Surv, median [Q1,Q3]",1.0,,5 (0.5),4 (0.6),,1 (0.4),,
"Surv, median [Q1,Q3]",10.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",100.0,,3 (0.3),3 (0.5),,,,
"Surv, median [Q1,Q3]",101.0,,2 (0.2),1 (0.2),1 (0.9),,,
"Surv, median [Q1,Q3]",102.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",103.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",104.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",105.0,,2 (0.2),1 (0.2),1 (0.9),,,
"Surv, median [Q1,Q3]",107.0,,3 (0.3),3 (0.5),,,,
"Surv, median [Q1,Q3]",108.0,,2 (0.2),1 (0.2),1 (0.9),,,
"Surv, median [Q1,Q3]",109.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",11.0,,5 (0.5),5 (0.8),,,,
"Surv, median [Q1,Q3]",110.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",111.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",112.0,,2 (0.2),1 (0.2),1 (0.9),,,
"Surv, median [Q1,Q3]",113.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",114.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",116.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",117.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",118.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",119.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",12.0,,10 (1.0),8 (1.3),,2 (0.8),,
"Surv, median [Q1,Q3]",120.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",121.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",13.0,,8 (0.8),8 (1.3),,,,
"Surv, median [Q1,Q3]",14.0,,8 (0.8),7 (1.1),1 (0.9),,,
"Surv, median [Q1,Q3]",15.0,,6 (0.6),5 (0.8),,1 (0.4),,
"Surv, median [Q1,Q3]",16.0,,10 (1.0),10 (1.6),,,,
"Surv, median [Q1,Q3]",17.0,,10 (1.0),10 (1.6),,,,
"Surv, median [Q1,Q3]",18.0,,14 (1.4),12 (1.9),1 (0.9),1 (0.4),,
"Surv, median [Q1,Q3]",19.0,,8 (0.8),6 (1.0),2 (1.9),,,
"Surv, median [Q1,Q3]",2.0,,4 (0.4),3 (0.5),1 (0.9),,,
"Surv, median [Q1,Q3]",20.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",21.0,,3 (0.3),2 (0.3),,1 (0.4),,
"Surv, median [Q1,Q3]",22.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",23.0,,10 (1.0),10 (1.6),,,,
"Surv, median [Q1,Q3]",24.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",25.0,,11 (1.1),11 (1.8),,,,
"Surv, median [Q1,Q3]",26.0,,8 (0.8),7 (1.1),1 (0.9),,,
"Surv, median [Q1,Q3]",27.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",28.0,,10 (1.0),10 (1.6),,,,
"Surv, median [Q1,Q3]",29.0,,6 (0.6),6 (1.0),,,,
"Surv, median [Q1,Q3]",3.0,,6 (0.6),3 (0.5),1 (0.9),2 (0.8),,
"Surv, median [Q1,Q3]",30.0,,11 (1.1),9 (1.4),1 (0.9),1 (0.4),,
"Surv, median [Q1,Q3]",31.0,,18 (1.8),17 (2.7),1 (0.9),,,
"Surv, median [Q1,Q3]",32.0,,14 (1.4),12 (1.9),2 (1.9),,,
"Surv, median [Q1,Q3]",33.0,,10 (1.0),9 (1.4),1 (0.9),,,
"Surv, median [Q1,Q3]",34.0,,8 (0.8),8 (1.3),,,,
"Surv, median [Q1,Q3]",35.0,,12 (1.2),9 (1.4),2 (1.9),1 (0.4),,
"Surv, median [Q1,Q3]",36.0,,8 (0.8),8 (1.3),,,,
"Surv, median [Q1,Q3]",37.0,,10 (1.0),6 (1.0),3 (2.8),1 (0.4),,
"Surv, median [Q1,Q3]",38.0,,12 (1.2),11 (1.8),1 (0.9),,,
"Surv, median [Q1,Q3]",39.0,,9 (0.9),8 (1.3),1 (0.9),,,
"Surv, median [Q1,Q3]",4.0,,8 (0.8),7 (1.1),,1 (0.4),,
"Surv, median [Q1,Q3]",40.0,,14 (1.4),9 (1.4),4 (3.7),1 (0.4),,
"Surv, median [Q1,Q3]",41.0,,5 (0.5),4 (0.6),1 (0.9),,,
"Surv, median [Q1,Q3]",42.0,,10 (1.0),8 (1.3),2 (1.9),,,
"Surv, median [Q1,Q3]",43.0,,11 (1.1),10 (1.6),1 (0.9),,,
"Surv, median [Q1,Q3]",44.0,,5 (0.5),5 (0.8),,,,
"Surv, median [Q1,Q3]",45.0,,6 (0.6),5 (0.8),1 (0.9),,,
"Surv, median [Q1,Q3]",46.0,,6 (0.6),5 (0.8),1 (0.9),,,
"Surv, median [Q1,Q3]",47.0,,7 (0.7),4 (0.6),3 (2.8),,,
"Surv, median [Q1,Q3]",48.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",49.0,,5 (0.5),4 (0.6),1 (0.9),,,
"Surv, median [Q1,Q3]",5.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",50.0,,4 (0.4),2 (0.3),2 (1.9),,,
"Surv, median [Q1,Q3]",51.0,,9 (0.9),8 (1.3),1 (0.9),,,
"Surv, median [Q1,Q3]",52.0,,9 (0.9),9 (1.4),,,,
"Surv, median [Q1,Q3]",53.0,,7 (0.7),5 (0.8),2 (1.9),,,
